2026-05-12 17:44:40.599 [main] INFO  cheese-im-postman - APNs推送服务已禁用
2026-05-12 17:44:40.600 [main] INFO  cheese-im-postman - FCM推送服务已禁用
2026-05-12 17:44:40.608 [main] INFO  cheese-im-postman - 华为推送服务已禁用
2026-05-12 17:44:40.609 [main] INFO  cheese-im-postman - 极光推送服务已禁用
2026-05-12 17:44:40.610 [main] INFO  cheese-im-postman - 小米推送服务已禁用
2026-05-12 17:44:41.169 [scheduling-1] INFO  cheese-im-postman - 开始清理过期设备Token
2026-05-12 17:44:41.373 [scheduling-1] INFO  cheese-im-postman - 过期设备Token清理完成: cleanedCount=0
2026-05-12 17:44:41.373 [scheduling-1] INFO  cheese-im-postman - 过期设备Token清理完成: cleanedCount=0, duration=204ms
2026-05-12 18:00:00.012 [scheduling-1] INFO  cheese-im-postman - 设备Token统计: totalTokens=0, activeTokens=0, expiredTokens=0, platformDistribution={}
2026-05-12 18:03:01.986 [main] INFO  cheese-im-postman - APNs推送服务已禁用
2026-05-12 18:03:01.987 [main] INFO  cheese-im-postman - FCM推送服务已禁用
2026-05-12 18:03:01.995 [main] INFO  cheese-im-postman - 华为推送服务已禁用
2026-05-12 18:03:01.996 [main] INFO  cheese-im-postman - 极光推送服务已禁用
2026-05-12 18:03:01.997 [main] INFO  cheese-im-postman - 小米推送服务已禁用
2026-05-12 18:03:02.566 [scheduling-1] INFO  cheese-im-postman - 开始清理过期设备Token
2026-05-12 18:03:02.779 [scheduling-1] INFO  cheese-im-postman - 过期设备Token清理完成: cleanedCount=0
2026-05-12 18:03:02.780 [scheduling-1] INFO  cheese-im-postman - 过期设备Token清理完成: cleanedCount=0, duration=214ms
2026-05-12 18:30:00.006 [scheduling-1] INFO  cheese-im-postman - 推送统计: totalPush=0, successPush=0, failedPush=0, successRate=0.00%
2026-05-12 18:30:00.008 [scheduling-1] INFO  cheese-im-postman - 实时统计: currentHourPush=0, currentMinutePush=0, currentSecondPush=0, currentSuccessRate=0.00%
2026-05-12 19:00:00.020 [scheduling-1] INFO  cheese-im-postman - 设备Token统计: totalTokens=0, activeTokens=0, expiredTokens=0, platformDistribution={}
