2026-04-08 15:20:55.128 [main] INFO  cheese-im-postman - APNs推送服务已禁用
2026-04-08 15:20:55.129 [main] INFO  cheese-im-postman - FCM推送服务已禁用
2026-04-08 15:20:55.131 [main] INFO  cheese-im-postman - 极光推送服务已禁用
2026-04-08 15:20:55.138 [main] INFO  cheese-im-postman - 华为推送服务已禁用
2026-04-08 15:20:55.139 [main] INFO  cheese-im-postman - 小米推送服务已禁用
2026-04-08 15:20:56.226 [scheduling-1] INFO  cheese-im-postman - 开始清理过期设备Token
2026-04-08 15:20:56.424 [scheduling-1] INFO  cheese-im-postman - 过期设备Token清理完成: cleanedCount=0
2026-04-08 15:20:56.424 [scheduling-1] INFO  cheese-im-postman - 过期设备Token清理完成: cleanedCount=0, duration=198ms
2026-04-08 15:30:00.054 [scheduling-1] INFO  cheese-im-postman - 推送统计: totalPush=0, successPush=0, failedPush=0, successRate=0.00%
2026-04-08 15:30:00.055 [scheduling-1] INFO  cheese-im-postman - 实时统计: currentHourPush=0, currentMinutePush=0, currentSecondPush=0, currentSuccessRate=0.00%
2026-04-08 15:35:30.421 [main] INFO  cheese-im-postman - APNs推送服务已禁用
2026-04-08 15:35:30.422 [main] INFO  cheese-im-postman - FCM推送服务已禁用
2026-04-08 15:35:30.423 [main] INFO  cheese-im-postman - 极光推送服务已禁用
2026-04-08 15:35:30.431 [main] INFO  cheese-im-postman - 华为推送服务已禁用
2026-04-08 15:35:30.432 [main] INFO  cheese-im-postman - 小米推送服务已禁用
2026-04-08 15:35:31.467 [scheduling-1] INFO  cheese-im-postman - 开始清理过期设备Token
2026-04-08 15:35:31.653 [scheduling-1] INFO  cheese-im-postman - 过期设备Token清理完成: cleanedCount=0
2026-04-08 15:35:31.653 [scheduling-1] INFO  cheese-im-postman - 过期设备Token清理完成: cleanedCount=0, duration=186ms
2026-04-08 15:40:43.587 [main] INFO  cheese-im-postman - APNs推送服务已禁用
2026-04-08 15:40:43.588 [main] INFO  cheese-im-postman - FCM推送服务已禁用
2026-04-08 15:40:43.589 [main] INFO  cheese-im-postman - 极光推送服务已禁用
2026-04-08 15:40:43.596 [main] INFO  cheese-im-postman - 华为推送服务已禁用
2026-04-08 15:40:43.597 [main] INFO  cheese-im-postman - 小米推送服务已禁用
2026-04-08 15:40:44.646 [scheduling-1] INFO  cheese-im-postman - 开始清理过期设备Token
2026-04-08 15:40:44.841 [scheduling-1] INFO  cheese-im-postman - 过期设备Token清理完成: cleanedCount=0
2026-04-08 15:40:44.841 [scheduling-1] INFO  cheese-im-postman - 过期设备Token清理完成: cleanedCount=0, duration=194ms
2026-04-08 15:45:26.896 [main] INFO  cheese-im-postman - APNs推送服务已禁用
2026-04-08 15:45:26.897 [main] INFO  cheese-im-postman - FCM推送服务已禁用
2026-04-08 15:45:26.898 [main] INFO  cheese-im-postman - 极光推送服务已禁用
2026-04-08 15:45:26.906 [main] INFO  cheese-im-postman - 华为推送服务已禁用
2026-04-08 15:45:26.907 [main] INFO  cheese-im-postman - 小米推送服务已禁用
2026-04-08 15:45:28.187 [scheduling-1] INFO  cheese-im-postman - 开始清理过期设备Token
2026-04-08 15:45:28.398 [scheduling-1] INFO  cheese-im-postman - 过期设备Token清理完成: cleanedCount=0
2026-04-08 15:45:28.398 [scheduling-1] INFO  cheese-im-postman - 过期设备Token清理完成: cleanedCount=0, duration=210ms
2026-04-08 16:00:00.030 [scheduling-1] INFO  cheese-im-postman - 设备Token统计: totalTokens=0, activeTokens=0, expiredTokens=0, platformDistribution={}
2026-04-08 16:22:12.744 [main] INFO  cheese-im-postman - APNs推送服务已禁用
2026-04-08 16:22:12.744 [main] INFO  cheese-im-postman - FCM推送服务已禁用
2026-04-08 16:22:12.746 [main] INFO  cheese-im-postman - 极光推送服务已禁用
2026-04-08 16:22:12.753 [main] INFO  cheese-im-postman - 华为推送服务已禁用
2026-04-08 16:22:12.755 [main] INFO  cheese-im-postman - 小米推送服务已禁用
2026-04-08 16:22:13.793 [scheduling-1] INFO  cheese-im-postman - 开始清理过期设备Token
2026-04-08 16:22:13.987 [scheduling-1] INFO  cheese-im-postman - 过期设备Token清理完成: cleanedCount=0
2026-04-08 16:22:13.987 [scheduling-1] INFO  cheese-im-postman - 过期设备Token清理完成: cleanedCount=0, duration=194ms
2026-04-08 16:30:00.011 [scheduling-1] INFO  cheese-im-postman - 推送统计: totalPush=0, successPush=0, failedPush=0, successRate=0.00%
2026-04-08 16:30:00.012 [scheduling-1] INFO  cheese-im-postman - 实时统计: currentHourPush=0, currentMinutePush=0, currentSecondPush=0, currentSuccessRate=0.00%
2026-04-08 16:55:05.569 [main] INFO  cheese-im-postman - APNs推送服务已禁用
2026-04-08 16:55:05.569 [main] INFO  cheese-im-postman - FCM推送服务已禁用
2026-04-08 16:55:05.570 [main] INFO  cheese-im-postman - 极光推送服务已禁用
2026-04-08 16:55:05.578 [main] INFO  cheese-im-postman - 华为推送服务已禁用
2026-04-08 16:55:05.579 [main] INFO  cheese-im-postman - 小米推送服务已禁用
2026-04-08 16:55:06.580 [scheduling-1] INFO  cheese-im-postman - 开始清理过期设备Token
2026-04-08 16:55:06.769 [scheduling-1] INFO  cheese-im-postman - 过期设备Token清理完成: cleanedCount=0
2026-04-08 16:55:06.769 [scheduling-1] INFO  cheese-im-postman - 过期设备Token清理完成: cleanedCount=0, duration=188ms
2026-04-08 17:00:00.005 [scheduling-1] INFO  cheese-im-postman - 设备Token统计: totalTokens=0, activeTokens=0, expiredTokens=0, platformDistribution={}
2026-04-08 17:00:22.274 [main] INFO  cheese-im-postman - APNs推送服务已禁用
2026-04-08 17:00:22.278 [main] INFO  cheese-im-postman - FCM推送服务已禁用
2026-04-08 17:00:22.280 [main] INFO  cheese-im-postman - 极光推送服务已禁用
2026-04-08 17:00:22.287 [main] INFO  cheese-im-postman - 华为推送服务已禁用
2026-04-08 17:00:22.288 [main] INFO  cheese-im-postman - 小米推送服务已禁用
2026-04-08 17:00:23.757 [scheduling-1] INFO  cheese-im-postman - 开始清理过期设备Token
2026-04-08 17:00:23.940 [scheduling-1] INFO  cheese-im-postman - 过期设备Token清理完成: cleanedCount=0
2026-04-08 17:00:23.940 [scheduling-1] INFO  cheese-im-postman - 过期设备Token清理完成: cleanedCount=0, duration=183ms
2026-04-08 17:30:00.026 [scheduling-1] INFO  cheese-im-postman - 推送统计: totalPush=0, successPush=0, failedPush=0, successRate=0.00%
